,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
859,골프존,89600.0,1700.0,-1.86%,500.0,25398.0,5623.0,1487.0,6.38,20.79,KOSDAQ
860,하나기술,68900.0,2100.0,-2.96%,500.0,123917.0,5623.0,112.0,251.46,0.72,KOSDAQ
864,탑머티리얼,70200.0,1700.0,+2.48%,500.0,82255.0,5605.0,118.0,42.75,13.77,KOSDAQ
865,피에스케이홀딩스,25900.0,750.0,-2.81%,500.0,360917.0,5585.0,169.0,14.18,12.85,KOSDAQ
866,티에스이,50300.0,1400.0,+2.86%,500.0,100886.0,5564.0,566.0,127.66,13.22,KOSDAQ
867,프로텍,49750.0,500.0,+1.02%,500.0,91837.0,5472.0,601.0,33.87,13.78,KOSDAQ
868,엔케이맥스,12970.0,130.0,-0.99%,500.0,154300.0,5369.0,-497.0,-9.57,-31.75,KOSDAQ
872,웹젠,14900.0,20.0,+0.13%,500.0,38919.0,5208.0,830.0,10.18,11.47,KOSDAQ
873,에스티아이,32750.0,400.0,+1.24%,500.0,301812.0,5184.0,348.0,45.87,8.97,KOSDAQ
875,위지윅스튜디오,3025.0,50.0,-1.63%,500.0,536160.0,5174.0,-249.0,25.85,-7.18,KOSDAQ
876,커넥트웨이브,11040.0,170.0,-1.52%,500.0,29835.0,5161.0,324.0,-5520.0,2.9,KOSDAQ
880,셀바스AI,19170.0,250.0,-1.29%,500.0,510180.0,5160.0,50.0,91.29,7.54,KOSDAQ
881,클리오,28550.0,250.0,-0.87%,500.0,72609.0,5159.0,179.0,21.31,4.24,KOSDAQ
882,에프에스티,23350.0,350.0,+1.52%,500.0,129655.0,5080.0,62.0,16.97,11.03,KOSDAQ
883,파트론,8590.0,140.0,+1.66%,500.0,133070.0,5061.0,568.0,17.04,6.29,KOSDAQ
884,지씨셀,32000.0,450.0,-1.39%,500.0,24059.0,5056.0,443.0,-46.78,3.66,KOSDAQ
888,우리기술투자,5980.0,230.0,+4.00%,500.0,4478971.0,5023.0,-4309.0,-3.02,-46.68,KOSDAQ
889,실리콘투,8290.0,340.0,-3.94%,500.0,951400.0,5001.0,142.0,16.58,9.85,KOSDAQ
890,인탑스,29000.0,350.0,+1.22%,500.0,75593.0,4988.0,1420.0,14.31,13.98,KOSDAQ
892,미래나노텍,15850.0,110.0,-0.69%,500.0,151173.0,4915.0,97.0,-1981.25,-1.58,KOSDAQ
896,케이엠더블유,12260.0,160.0,-1.29%,500.0,74368.0,4882.0,-450.0,-8.35,-7.49,KOSDAQ
